filename,r_peaks_seconds
records500/00000/00009_hr,"0.86,1.78,2.74,3.72,4.69,5.7,6.72,7.75,8.75"
records500/00000/00038_hr,"0.84,1.65,2.48,3.31,4.12,4.92,5.73,6.56,7.42,8.25,9.07"
records500/00000/00040_hr,"0.74,1.69,2.62,3.54,4.49,5.42,6.33,7.27,8.22,9.16"
records500/00000/00057_hr,"1.14,2.06,3.0,3.91,4.85,5.81,6.74,7.61,8.51"
records500/00000/00059_hr,"0.76,1.59,2.45,3.28,4.12,4.96,5.79,6.65,7.51,8.36,9.23"
records500/00000/00063_hr,"0.82,1.79,2.73,3.78,4.84,5.82,6.84,7.84,8.83"
records500/00000/00065_hr,"1.17,2.0,2.84,3.68,4.53,5.38,6.22,7.05,7.88,8.73"
records500/00000/00075_hr,"1.59,2.66,3.81,5.02,6.19,7.38,8.55"
records500/00000/00076_hr,"1.52,2.46,3.37,4.23,5.1,6.16,7.35,8.45"
records500/00000/00079_hr,"1.08,2.09,3.09,4.09,5.07,6.07,7.11,8.14,9.16"
records500/00000/00093_hr,"1.1,1.9,2.74,3.59,4.45,5.28,6.12,6.99,7.86,8.7"
records500/00000/00100_hr,"0.89,1.77,2.79,3.83,4.86,5.88,6.76,7.85,8.89"
records500/00000/00112_hr,"0.69,1.26,2.12,3.0,3.83,4.68,5.53,6.37,7.18,7.99,8.83"
records500/00000/00115_hr,"1.19,1.96,2.79,3.64,4.47,5.35,6.23,7.08,7.87,8.7"
records500/00000/00116_hr,"1.17,1.96,2.75,3.51,4.3,5.12,5.93,6.78,7.64,8.48,9.32"
records500/00000/00117_hr,"1.17,1.78,2.38,2.99,3.62,4.28,4.99,5.73,6.48,7.23,7.96,8.67"
records500/00000/00119_hr,"1.41,2.34,3.27,4.19,5.12,6.06,7.0,7.93,8.86"
records500/00000/00121_hr,"0.89,1.62,2.34,3.06,3.79,4.54,5.29,6.04,6.78,7.53,8.29,9.06"
records500/00000/00122_hr,"0.71,1.43,2.43,3.37,4.18,4.99,5.92,6.88,7.97,9.1"
records500/00000/00128_hr,"0.94,1.62,2.31,2.98,3.64,4.28,4.91,5.53,6.13,6.72,7.31,7.91,8.53,9.17"
records500/00000/00129_hr,"1.36,2.31,3.28,4.25,5.21,6.18,7.13,8.11,9.07"
records500/00000/00132_hr,"1.28,2.04,2.8,3.55,4.3,5.02,5.71,6.4,7.11,7.87,8.67"
records500/00000/00157_hr,"1.05,2.02,2.94,3.95,4.91,5.87,6.82,7.75,8.68"
records500/00000/00160_hr,"0.82,1.93,3.07,4.19,5.31,6.43,7.52,8.61"
records500/00000/00162_hr,"0.78,1.63,2.47,3.32,4.17,5.01,5.85,6.68,7.52,8.36,9.2"
records500/00000/00167_hr,"1.56,2.67,3.71,4.8,5.94,7.11,8.2,9.26"
records500/00000/00172_hr,"1.32,2.06,2.81,3.56,4.31,5.05,5.8,6.55,7.3,8.04,8.78"
records500/00000/00175_hr,"1.13,2.21,3.29,4.35,5.43,6.52,7.59,8.7"
records500/00000/00180_hr,"1.12,1.77,2.43,3.07,3.71,4.36,5.02,5.67,6.31,6.95,7.61,8.26,8.89"
records500/00000/00201_hr,"1.14,1.8,2.46,3.09,3.7,4.37,5.02,5.68,6.31,6.91,7.52,8.15,8.79"
records500/00000/00203_hr,"0.76,1.86,2.91,3.98,5.08,6.18,7.25,8.31"
records500/00000/00208_hr,"0.91,1.92,2.93,4.02,5.03,5.95,6.87,7.78,8.72"
records500/00000/00210_hr,"1.11,1.95,2.79,3.63,4.47,5.27,6.04,6.79,7.54,8.29,9.09"
records500/00000/00218_hr,"0.73,1.43,2.14,2.84,3.54,4.24,4.92,5.6,6.29,6.98,7.67,8.37,9.07"
records500/00000/00240_hr,"0.74,1.94,3.15,4.36,5.59,6.8,8.01,9.22"
records500/00000/00241_hr,"0.84,1.63,2.46,3.25,4.03,4.79,5.57,6.31,7.02,7.74,8.49,9.22"
